team_long_name,team_fifa_api_id,OVA,ATT,MID,DEF,year
UD Almeria,1861,70,73,69,70,2014
Real Zaragoza,244,70,70,69,68,2014
Xerez Club Deportivo,1742,NA,NA,NA,NA,2014
CD Tenerife,260,64,63,64,65,2014
Levante UD,1853,74,72,73,73,2014
Hércules Club de Fútbol,100879,66,67,66,66,2014
Real Sociedad,457,77,80,76,76,2014
Granada CF,110832,73,73,72,71,2014
Rayo Vallecano,480,73,71,73,73,2014
RC Celta de Vigo,450,73,74,72,71,2014
Elche CF,468,72,71,72,72,2014
SD Eibar,467,64,63,64,63,2014
Córdoba CF,1867,65,67,65,64,2014
UD Las Palmas,472,69,67,70,67,2014
CD Leganés,100888,NA,NA,NA,NA,2014
Deportivo Alavés,463,65,66,64,65,2014
Valencia CF,461,79,80,79,78,2013
RCD Espanyol,452,74,75,73,74,2013
Racing Santander,456,64,65,64,64,2013
Real Sporting de Gijón,459,69,67,70,69,2013
Real Betis Balompié,449,75,75,76,74,2013
RC Deportivo de La Coruña,242,73,73,72,72,2013
CD Numancia,477,65,65,64,64,2013
Atlético Madrid,240,80,83,79,80,2013
Athletic Club de Bilbao,448,76,79,75,76,2013
CA Osasuna,479,72,70,71,74,2013
FC Barcelona,241,85,86,84,84,2013
Sevilla FC,481,76,78,74,74,2013
Real Valladolid,462,73,73,74,73,2013
Málaga CF,573,78,76,79,77,2013
RCD Mallorca,453,72,72,73,71,2013
Real Madrid CF,243,84,84,85,82,2013
RC Recreativo,571,66,67,65,64,2013
Getafe CF,1860,75,74,75,74,2013
Villarreal CF,483,72,71,73,71,2013
UD Almeria,1861,68,64,68,68,2013
Real Zaragoza,244,72,76,71,72,2013
Xerez Club Deportivo,1742,62,61,62,63,2013
CD Tenerife,260,64,63,64,65,2013
Levante UD,1853,74,72,74,74,2013
Hércules Club de Fútbol,100879,65,67,62,66,2013
Real Sociedad,457,76,77,74,75,2013
Granada CF,110832,73,73,73,72,2013
Rayo Vallecano,480,73,74,74,72,2013
RC Celta de Vigo,450,72,71,73,71,2013
Elche CF,468,71,69,71,70,2013
SD Eibar,467,NA,NA,NA,NA,2013
Córdoba CF,1867,66,66,65,65,2013
UD Las Palmas,472,67,67,67,67,2013
CD Leganés,100888,NA,NA,NA,NA,2013
Deportivo Alavés,463,NA,NA,NA,NA,2013
Valencia CF,461,79,74,72,74,2012
RCD Espanyol,452,75,70,72,69,2012
Racing Santander,456,72,64,68,67,2012
Real Sporting de Gijón,459,73,69,69,68,2012
Real Betis Balompié,449,73,69,72,69,2012
RC Deportivo de La Coruña,242,73,71,69,68,2012
CD Numancia,477,66,62,64,64,2012
Atlético Madrid,240,79,70,72,74,2012
Athletic Club de Bilbao,448,77,70,71,70,2012
CA Osasuna,479,73,67,69,69,2012
FC Barcelona,241,86,81,84,80,2012
Sevilla FC,481,78,75,72,71,2012
Real Valladolid,462,69,69,65,67,2012
Málaga CF,573,78,67,74,73,2012
RCD Mallorca,453,73,66,69,68,2012
Real Madrid CF,243,85,78,79,76,2012
RC Recreativo,571,64,63,63,62,2012
Getafe CF,1860,75,67,72,68,2012
Villarreal CF,483,77,77,76,74,2012
UD Almeria,1861,69,63,66,65,2012
Real Zaragoza,244,73,69,66,68,2012
Xerez Club Deportivo,1742,66,64,64,63,2012
CD Tenerife,260,NA,NA,NA,NA,2012
Levante UD,1853,74,66,68,69,2012
Hércules Club de Fútbol,100879,70,66,68,64,2012
Real Sociedad,457,73,67,66,70,2012
Granada CF,110832,73,66,68,67,2012
Rayo Vallecano,480,72,68,68,66,2012
RC Celta de Vigo,450,69,67,66,66,2012
Elche CF,468,68,65,65,66,2012
SD Eibar,467,NA,NA,NA,NA,2012
Córdoba CF,1867,67,62,65,63,2012
UD Las Palmas,472,66,63,64,63,2012
CD Leganés,100888,NA,NA,NA,NA,2012
Deportivo Alavés,463,NA,NA,NA,NA,2012
